L1,L2
BJP today organized awareness rally about Citizenship Amendment Act (CAA) in Panaji.,भारतीय जनता पार्टी नागरिकता संशोधन कानून के बारे में जागरूकता के लिए पणजी में एक रैली आयोजित की।
BJP National Working President J.P. Nadda addressed the rally.,इस रैली को भाजपा के राष्ट्रीय कार्यकारी अध्यक्ष जगत प्रसाद नड्डा ने किया।
Union Minister of State for Defence and Ayush Minister Sripad Naik said that opposition is unnecessarily attempting to create confusion in the minds of people.,केन्द्रीय रक्षा और आयुष राज्य मंत्री श्रीपद नायक ने कहा कि विपक्षी पार्टियां अनावश्यक ढंग से लोगों के मन में संदेह पैदा करने का प्रयास कर रही हैं।
"Various ministers, Party leaders and office bearers in the state will participate in this campaign.","इस अभियान में कई मंत्री, नेता और पदाधिकारी भाग लेंगे।"
Delhi Police today said that they have found some vital clues in connection with the yesterday's JNU violence and Police will solve this case very soon.,दिल्ली पुलिस ने कहा है कि जवाहर लाल नेहरू विश्वविद्यालय-जेएनयू में कल हुई हिंसा के बारे में कुछ महत्वपूर्ण सुराग मिले हैं और पुलिस इस मामले को बहुत जल्द सुलझा लेगी।
Delhi Police Spokesman M S Randhawa said that an FIR has been lodged in the matter and investigation is underway.,दिल्ली पुलिस के प्रवक्ता एम एस रंधावा ने बताया कि इस मामले में प्राथमिकी दर्ज की गई है और जांच की जा रही है।
"He said, all the 34 persons, who were hospitalized after the violence, have been discharged from AIIMS Trauma Centre.",उन्होंने कहा कि हिंसा के बाद अस्पताल में भर्ती सभी 34 व्यक्तियों को एम्स ट्रॉमा सेंटर से छुट्टी दे दी गई है।
"Mr. Randhawa said, Crime Branch team today visited the spot and gathered some information.",श्री रंधावा ने कहा कि अपराध शाखा की टीम ने आज घटनास्थल का दौरा किया और कुछ जानकारी जुटाई।
"He also said, a Fact-Finding Committee headed by Joint Commissioner of Police Shalini Singh has been constituted.",उन्होंने यह भी कहा कि संयुक्त पुलिस आयुक्त शालिनी सिंह की अध्यक्षता में एक जांच समिति गठित की गई है।
"Denying the charges of delay on the part of Delhi Police, he said, police acted immediately and handled the law and order situation professionally.",इस घटना में दिल्ली पुलिस की ओर से देरी किए जाने के आरोपों से इनकार करते हुए पुलिस प्रवक्ता ने कहा कि पुलिस ने तुरंत कार्रवाई की और मुस्तैदी से कानून-व्यवस्था की स्थिति को संभाला।
Assam is fully geared up for the third edition of Khelo India Youth games to be held in Guwahati between 10th and 22nd of this month.,असम में तीसरे खेलो इंडिया युवा खेल प्रतियोगिता के लिए टीमें गुवाहाटी पहुंचने लगी हैं।
"Mr. Pegu also informed that help desks have been set up at railway stations, airports, important bus stands for the convenience of players and visitors.","श्री पेगु ने कहा कि खिलाडि़यों और दर्शकों की सुविधा के लिए रेलवे स्टेशनों, हवाई अड्डों और महत्वपूर्ण बस अड्डों पर हेल्प डेस्क बनाई गई हैं।"
Maharashtra Chief Minister Uddhav Thackeray today said that State Government will give priority to industrial development to strengthen industrialists and farmers.,महाराष्ट्र के मुख्यमंत्री उद्धव ठाकरे ने राज्य के आर्थिक और औद्योगिक विकास की रूप रेखा पर चर्चा के लिए कल उद्योग और व्यापार जगत के प्रमुख नेताओं से मुलाकात की।
The event was organized in association with the Confederation of Indian Industry (CII) in Mumbai.,यह कार्यक्रम मुबंई में भारतीय उद्योग परिसंघ के सहयोग से आयोजित किया गया।
"Mr Thackeray said, his government will not allow a single industrial unit to shift out of the state and assured to create conducive environment for their growth.",श्री ठाकरे ने कहा कि उनकी सरकार एक भी औद्योगिक इकाई को राज्य से बाहर नहीं जाने देगी और उद्योगों के विकास का उनुकूल वातावरण तैयार करेगी।
"Chief of Defence Staff, CDS, General Bipin Rawat has said that all the three services will work as a team.",चीफ ऑफ डिफेंस स्टाफ-सी डी एस जनरल बिपिन रावत ने कहा है कि तीनों सेनाएं टीम के रूप में काम करेंगी।
"After taking charge as the first CDS, General Rawat said, as per the task was given to the CDS, to enhance integration and do better resource management will be a priority.",देश के पहले सी डी एस का पदभार संभालने के बाद जनरल रावत ने कहा कि सी डी एस को सौंपे गये कार्यभार के अनुसार एकीकरण बढ़ाना और बेहतर संसाधन प्रबंधन उनकी प्राथमिकता होगी।
General Rawat said Armed forces will be strengthened through synergy and integration.,जनरल रावत ने कहा कि सशस्त्र बलों को तालमेल और एकीकरण के ज़रिये मज़बूत किया जाएगा।
He said CDS will be neutral to all three services.,सी डी एस तीनों सेनाओं के लिए निष्पक्ष रहेगा।
"General Rawat said, how procurement procedure can be unified will be a priority.",जनरल रावत ने कहा कि उनकी प्राथमिकता होगी कि खरीद प्रक्रिया को कैसे एकीकृत बनाया जाए।
He said the armed forces stay away from politics and work as per the directives of the government of the day.,उन्होंने कहा कि सशस्त्र बल राजनीति से अलग रहते हैं और वर्तमान सरकार के निर्देशों के अनुसार काम करते हैं।
General Rawat also said that his focus as CDS will be to integrate the efforts of the three services and to work as a team.,जनरल रावत ने कहा कि सी डी एस के रूप में वे तीनों सेनाओं के प्रयासों को एकीकृत करने तथा टीम के रूप में काम करने पर ध्यान देंगे।
"Army Chief Manoj Mukund Naravane, Air Chief Marshal Rakesh Kumar Singh Bhadauria and Navy Chief Karambir Singh and other senior officers were present on the occasion.","इस अवसर पर थलसेना अध्यक्ष मनोज मुकुंद नरवणे, एयर चीफ मार्शल राकेश कुमार सिंह भदौरिया, नौसेना प्रमुख करमबीर सिंह और अन्य वरिष्ठ अधिकारी उपस्थित रहे।"
"Recalling his announcement from the ramparts of Red Fort on 15th August 2019 that India will have Chief of Defence Staff, he said this institution carries tremendous responsibility of modernizing our military forces.",पंद्रह अगस्त 2019 को लाल किले से सी.डी.एस. का पद सृजित करने की अपनी घोषणा को याद करते हुए प्रधानमंत्री ने कहा कि हमारी सेनाओं के आधुनिकीकरण की महत्वपूर्ण ज़िम्मेदारी सी.डी.एस. की ही है।
The Prime Minister also paid homage to all those who have served and laid down their lives for the nation.,प्रधानमंत्री ने देश की रक्षा के लिए जीवन बलिदान करने वाले सभी शहीदों को श्रद्धांजलि भी अर्पित की।
Indian Consulate in Dubai will issue passports under the tatkal scheme on the same day with certain conditions.,दुबई में भारतीय दूतावास तत्काल योजना के तहत कुछ शर्तों के साथ उसी दिन पासपोर्ट जारी करेगा।
The announcement was made by Consul General Vipul on the occasion of the Pravasi Bhatiya Divas celebrations yesterday.,कल प्रवासी भारतीय दिवस समारोह के अवसर पर महावाणिज्य दूत विपुल ने यह घोषणा की।
"However, he said that the application for the passport had to be made before noon and additional fees will be charged for the service.",उन्होंने कहा कि पासपोर्ट के लिए आवेदन दोपहर से पहले करना होगा और इसके लिए अतिरिक्त शुल्क भी लिया जाएगा।
The passport will be given to the applicant by the evening.,आवेदक को पासपोर्ट शाम तक उपलब्ध करा दिया जाएगा।
Passports under the Tatkal scheme in any case were being given within 24 hours.,किसी भी मामले में तत्काल योजना के अंतर्गत पासपोर्ट चौबीस घंटे में दे दिये जाते हैं।
"In 2019, the consulate issued more than 200,000 passports, over 2500 emergency certificates (one-way travel document), over 2,800 police clearance certificates and provided 72,000 attestation services including registration of births and deaths.","वर्ष 2019 में वाणिज्य दूत ने दो लाख से अधिक पासपोर्ट जारी किए, करीब ढाई हजार आपात प्रमाणपत्र (एकतरफा यात्रा दस्तावेज), 2,800 से अधिक पुलिस अनुमति प्रमाणपत्र और जन्म-मृत्यु के पंजीकरण सहित 72 हजार सत्यापन सेवाएं उपलब्ध कराई गईं।"
"In Jammu and Kashmir, Pakistan Army today lobbed mortars at forward posts along the Line of Control in Gulpur Sector of Poonch district in yet another incident of ceasefire violation.",जम्मू-कश्मीर में संघर्ष विराम की एक घटना में आज पाकिस्तानी सेना ने पुंछ जिले के गुलपुर सेक्टर में नियंत्रण रेखा के पास की अग्रिम चौकियों पर मोर्टार दागे।
"According to the officials, two Army porters were killed and three others severely injured in this incident.",अधिकारियों के अनुसार इस घटना में सेना के दो पोर्टरों की मौत हो गयी और तीन अन्य गंभीर रूप से घायल हो गये हैं।
The injured porters have been hospitalized and efforts are on to recover the bodies of the two porters.,घायल हुए पोर्टरों को अस्पताल में भर्ती कराया गया है और दो मृत पोर्टरों के शवों का पता लगाने के प्रयास जारी हैं।
All 176 people on board died when Ukraine International Airlines Boeing 737 went down near Tehran on Wednesday.,इस विमान में सवार सभी 176 लोगों की मौत हो गई थी।
"One US official said, American satellites had detected the launch of two missiles shortly before the plane crashed, followed by evidence of an explosion.",एक अमरीकी अधिकारी ने बताया कि अमरीकी उपग्रहों ने पता लगाया है कि विमान के दुर्घटनाग्रस्त होने से कुछ ही समय पहले दो मिसाइलों का प्रक्षेपण किया गया था जिसके बाद विस्फोट हुआ था।
"Two officials said, Washington believes the downing of the plane was accidental.",दो अधिकारियों ने कहा है कि अमरीका का मानना है कि विमान गलती से दुर्घटनाग्रस्त हुआ होगा।
"Ukraine has outlined four potential scenarios to explain the crash, including a missile strike.","यूक्रेन ने दुर्घटना के लिए चार संभावित परिदृश्यों तैयार किए हैं, जिसमें मिसाइल हमला भी शामिल है।"
Iran has challenged international suggestions that the Ukrainian airliner was mistakenly downed by an Iranian missile.,ईरान ने अंतरराष्ट्रीय अनुमानों को चुनौती दी है कि ईरान की मिसाइल ने यूक्रेनी विमान को गलती से मार गिराया होगा।
Information and Broadcasting Minister Prakash Javadekar today conferred the first Antarrashtriya Yoga Diwas Media Samman to 30 media houses in New Delhi today.,केंद्रीय सूचना और प्रसारण मंत्री प्रकाश जावडेकर मंगलवार को नई दिल्ली में तीस मीडिया संगठनों को अंतर्राष्ट्रीय योग दिवस मीडिया सम्मान प्रदान करेंगे।
Eight awards under the category Best Media Coverage of Yoga in Television and 11 awards were conferred under the category Best Media Coverage of Yoga in Radio.,"इनमें प्रिन्ट के माध्यम से योग के बेहतरीन प्रचार के लिए ग्यारह पुरस्कार, इलैक्ट्रोनिक माध्यम से प्रचार के लिए आठ पुरस्कार तथा रेडियो के माध्यम से प्रचार के लिए अलग-अलग श्रेणियों में पुरस्कार दिए जाएंगे।"
The International Day of Yoga is being celebrated on 21st of June every year since 2015.,अंतर्राष्ट्रीय योग दिवस वर्ष 2015 से हर साल 21 जून को मनाया जाता है।
The idea of International Day of Yoga was first proposed by the Prime Minister Narendra Modi during his address at the United Nations General Assembly in September 2014.,प्रधानमंत्री नरेन्द्र मोदी ने अंतर्राष्ट्रीय योग दिवस मनाए जाने का प्रस्ताव 27 सितम्बर 2014 को संयुक्त राष्ट्र आम सभा की बैठक में रखा था।
The Indian economy is estimated to grow at 5 per cent in 2019-20 as against  6.8 per cent in the previous fiscal.,"पूल से/0620 भारतीय अर्थव्यवस्था का 2019-20 में 5 प्रतिशत की दर से बढ़ने का अनुमान है, जबकि पिछले वित्त वर्ष में विकास दर 6 दशमलव 8 प्रतिशत रही थी।"
"The deceleration was also witnessed in sectors like agriculture, construction and electricity, gas and water supply.","कृषि, निर्माण और विद्युत, गैस तथा जलआपूर्ति जैसे क्षेत्रों में सुस्ती देखी गई, जबकि, खनन, लोक प्रशासन और रक्षा सहित कुछ क्षेत्र में मामूली सुधार हुआ।"
Sports initiatives launched by Prime Minister Narendra Modi will also be displayed.,खेल के क्षेत्र में कौशल इस समारोह में प्रधानमंत्री नरेंद्र मोदी द्वारा शुरू की गई विभिन्न खेल परियोजनाओं पर एक प्रस्तुति भी दिखाई गई।
"In all, 6,500 athletes are taking part in the Khelo India at 20 disciplines.",इन खेलों में कुल छह हजार पांच सौ खिलाड़ी भाग ले रहे हैं।
"Union Minister for Communications, Electronics and Information Technology Ravi Shankar Prasad has said that the Union Government will ensure participation of the common people as stakeholders in the digital transformation that is sweeping across the country.",केंद्रीय संचार और सूचना प्रौद्योगिकी मंत्री रविशंकर प्रसाद ने कहा है कि केन्द्र सरकार देश में डिजिटल परिवर्तन में आम लोगों की भागीदारी सुनिश्चित करेगी।
He was speaking after inauguration of the works on laying of submarine cables from Chennai to Andaman Nicobar Islands in Chennai today.,वे आज चेन्नई में चेन्नई से अंडमान-निकोबार द्वीप समूह तक समुद्र में केबल बिछाने के काम का उद्घाटन कर रहे थे।
"The submarine cables will be initially laid from Chennai to Port Blair covering a distance of 1,450 kilometres.",हमारे संवाददाता ने बताया है कि प्रारंभ में चेन्नई और पोर्ट ब्लेयर के बीच एक हजार चार सौ पचास किलोमीटर लम्बा केबल बिछाया जाएगा।
The works are expected to be completed by June this year.,आशा है कि पूरा काम इस वर्ष जून तक पूरा कर लिया जाएगा।
"Lieutenant Governor of Andaman Nicobar Islands Admiral D K Joshi said, the submarine cable project would multiply the speed and reliability of data and voice telephone facilities manifold in the islands, resulting in a boost to its economy and life standards.","अंडमान-निकोबार द्वीप समूह के उप राज्यपाल एडमिरल डी. के. जोशी ने कहा कि द्वीप समूह में डाटा और वॉइस टेलीफोन सुविधाओं में तेजी से वृद्धि होगी, अर्थव्यवस्था को बढ़ावा मिलेगा तथा लोगों के जीवन स्तर में सुधार होगा।"
"Mr Ravi Shankar Prasad said, the Central Government has transferred funds worth eight lakh crore rupees under various heads to beneficiaries through the Direct Benefit Transfer system.",श्री रविशंकर प्रसाद ने बताया है कि सरकार ने विभिन्न योजनाओं की लगभग आठ लाख करोड़ रुपए की सब्सिड़ी सीधे लाभार्थियों के खाते में डाली है।
Assam Rifles has recovered contraband worth  3.80 crore rupees along India-Myanmar border near Moreh town in Manipur.,असम राइफल्स ने मणिपुर में मोरे के निकट भारत-म्यामां सीमा पर तीन करोड़ अस्सी लाख रुपये मूल्य के मादक पदार्थ पकड़े हैं।
"During the round-the-clock patrolling, the troops spotted an unidentified individual who was entering in India from Myanmar side.",दिन-रात जारी सैनिकों की गश्त के दौरान म्यामां की ओर से भारत में प्रवेश कर रहे एक अज्ञात व्यक्ति को देखा गया।
"When the Assam Rifles team challenged him on suspicion, the individual fled leaving behind the drug.",इसके बाद असम राइफल्स के दल ने संदेह होने पर उससे पूछताछ करनी चाही लेकिन वह व्यक्ति मादक पदार्थ छोड़ कर भाग निकला।
The recovered items have been handed over to the police for necessary legal action.,इन नशीली दवाओं को आवश्यक कानूनी कार्रवाई के लिए पुलिस को सौंप दिया गया है।
US Defence Secretary Mark Esper has denied US troops are pulling out of Iraq.,अमरीका के रक्षा मंत्री मार्क एस्पर ने इराक से अमरीका सेनाओं की वापसी से इंकार किया है।
Mr Esper said this after a letter from a US general based in Iraq suggested a withdrawal.,इराक में एक अमरीकी जनरल द्वारा सेना की वापसी की सलाह से संबंधित एक पत्र भेजे जाने के बाद श्री एस्पर ने यह बात कही है।
The confusion came amid threats to American forces after the US killed top Iranian commander Qasem Soleimani.,अमरीकी हमले में ईरान के शीर्ष कमांडर कासिम सोलेमनी के मारे जाने के बाद अमरीकी सेना पर खतरे के बीच यह भ्रम की स्थिति पैदा हुई है।
"Earlier, the head of the US military's Task Force Iraq, Brigadier General William Seely, sent a letter to the head of Iraq's joint operations command.",इससे पहले अमरीकी सेना के इराक कार्यबल के प्रमुख ब्रिगेडियर जनरल विलियम सीली ने इराक के संयुक्त कार्रवाई कमांड के प्रमुख को इस बारे में पत्र भेजा था।
"Brigadier Seely wrote, coalition forces are required to take certain measures to ensure that the movement out of Iraq is conducted in a safe and efficient manner.",ब्रिगेडियर सीली ने लिखा है कि गठबंधन सेना को इराक से सुरक्षित और उचित तरीके से बाहर निकलने के लिए कुछ उपाय सुनिश्चित करने की जरूरत होती है।
"Some 5,200 US soldiers are stationed across Iraqi bases to support local troops preventing a resurgence of the Islamic State group.",करीब पांच हजार दो सौ अमरीकी सैनिक इस्लामिक स्टेट आतंकी गुट की गतिविधियों पर रोक लगाने के लिए स्थानीय बलों के समर्थन में इराकी ठिकानों पर तैनात हैं।
Banking services in the national capital have been impacted due to Bharat Bandh.,राष्ट्रीय राजधानी में भारत बंद के कारण बैंकिंग सेवाएं प्रभावित हैं।
"All India Bank Employees Association General Secretary CH Venkatachalam said, bank employees, have extended support to the nationwide strike call given by ten central trade unions.",अखिल भारतीय बैंक कर्मचारी संघ के महासचिव सी.एच. वेंकटाचलम ने कहा कि बैंक कर्मचारियों ने दस केन्द्रीय कर्मचारी संघों के भारत बंद के आह्वान का समर्थन किया है।
"He said, bank employees, have been opposing government policies on bank merger, privatisation, fee hike and other wage-related issues.","उन्होंने कहा कि बैंक कर्मचारी सरकार के बैंकों के विलय की नीति, निजीकरण, फीस वृद्धि और वेतन सहित कई मुद्दों पर विरोध कर रहे हैं।"
"Jammu and Kashmir Lieutenant Governor, Girish Chandra Murmu reviewed the working of Jammu and Srinagar Metropolitan Region Development Authorities in a meeting at the Civil Secretariat in Jammu.",जम्मू-कश्मीर के उपराज्यपाल गिरिश चंद्र मुर्मू ने जम्मू सचिवालय में जम्मू और श्रीनगर महानगर क्षेत्र विकास प्राधिकरण के कार्यों की समीक्षा की।
He directed MRDAs to prepare advance plans for proper drainage & sewage system and road connectivity for proposed Housing Projects especially for those outside Municipal limits and asked the authorities to carry out afforestation in the proposed Townships under Compensatory Afforestation Fund Management & Planning Authority (CAMPA) to increase the green cover.,"उन्होंने महानगर क्षेत्र की सीमा से बाहर प्रस्तावित आवासीय परियोजनाओं के लिए उचित जल निकासी, सीवर प्रणाली और सड़कों को जोड़ने की योजना तैयार करने को कहा और अधिकारियों से प्रस्तावित उपनगरों को हरित क्षेत्र बनाने के लिए क्षतिपूरक वनीकरण कोष प्रबंधन और योजना प्राधिकरण के अंतर्गत वृक्षारोपण करने का निर्देश दिया।"
Iran's supreme leader Ayatollah Ali Khamenei today named the Deputy Head of the Revolutionary Guards' foreign operations arm Esmail Qaani to replace Qasem Soleimani as its commander.,ईरान के सर्वोच्च नेता अयातुल्लाह अली खामेनी ने क़ासिम सोलेमानी की जगह रिवोल्यूशनरी गार्ड के विदेशी अभियानों के उप-प्रमुख इस्माइल क़ानी को कमांडर नियुक्त किया है।
Soleimani was killed in a pre-dawn US strike in Baghdad today.,आज बगदाद में अमरीकी हमले में सोलेमानी की मौत हो गई।
"In a statement posted on his official website, Khamenei said, Qaani was one of the most decorated commanders of the Guards during the 1980-88 Iran-Iraq war.",आधिकारिक वेबसाइट पर जारी बयान में खामेनी ने कहा कि इस्माइल क़ानी 1980-88 के दौरान ईरान-इराक युद्ध में रिवोल्यूशनरी गार्ड के अत्यधिक शीर्ष कमांडरों में से एक हैं।
He said the orders for the force remain exactly as they were during the leadership of Soleimani.,उन्होंने कहा कि सेना के लिए वही आदेश बने रहेंगे जो सोलेमानी के नेतृत्व के दौरान दिए गए थे।
He called on the members of the force to cooperate with General Qaani.,उन्होंने सेना से जनरल क़ानी का सहयोग करने का आह्वान किया।
Army Chief General Manoj Mukund Narawane visited Siachen base camp today morning.,सेना प्रमुख जनरल मनोज मुकुंद नरवाणे ने आज सवेरे सियाचिन बेस शिविर का दौरा किया।
This was his maiden visit to any forward post after assuming the charge of Army Chief.,सेना प्रमुख का कार्यभार संभालने के बाद किसी अग्रिम चौकी का उनका यह पहला दौरा है।
The railways also announced a two paise per kilometre hike in fares of mail and express non-AC trains and four paise per kilometre hike in the fares of AC classes.,गैर-वातानुकूलित मेल और एक्सप्रेस ट्रेनों के किराये में दो पैसे प्रति किलोमीटर और वातानुकूलित श्रेणी के किराये में चार पैसे प्रति किलोमीटर की वृद्धि की गई है।
This class constitutes 66 per cent of total passenger segment over Indian railways.,रेलवे के कुल यात्रियों में से 66 प्रतिशत दैनिक यात्रा करने वाले मुसाफिर होते हैं।
Last fare revision over Indian Railways was done in 2014-15.,भारतीय रेल ने इससे पहले यात्री किराये में 2014-15 में बढ़ोतरी की थी।
"The Ministry said, Railways has continuously endeavoured to augment passenger experience through modernization of coaches and provision of improved facilities over stations.",मंत्रालय ने कहा है कि रेल डिब्बों के आधुनिकीकरण और स्टेशनों पर सुविधाओं में सुधार के जरिए यात्रा को सुखद बनाने का लगातार प्रयास किया गया है।
"The fare hike is also applicable to premium trains such as Shatabdi, Rajdhani and Duronto.","शताब्दी, राजधानी और दुरंतो श्रेणी की विशेष रेलगाडि़यों में भी किराये में बढ़ोतरी लागू होगी।"
"Union Minister for Minority Affairs Mukhtar Abbas Naqvi today said that when some political parties could not convince people on Citizenship Amendment Act, then they started confusing a section of society.",अल्पसंख्यक मामलों के केंद्रीय मंत्री मुख्तार अब्बास नकवी ने कहा है कि जब कुछ राजनीतिक दल संशोधित नागरिकता कानून के बारे में लोगों को आश्वश्त नहीं कर पाए तो उन्होंने समाज को गुमराह करना शुरू कर दिया।
"Enforcement Directorate, ED has attached assets worth over 51 crore rupees belonging to the accused Pappu Singh and his family members in a bank fraud case.",प्रवर्तन निदेशालय-ईडी ने बैंक धोखाधड़ी के एक मामले में आरोपी पप्पू सिंह और उसके परिवार के सदस्यों की 51 करोड़ रुपये से अधिक की संपत्ति जब्त की है।
"The attached properties include house sites, fish tanks and poultry farms.","जब्त की गई संपत्ति में मकान, मत्स्य पालन टैंक और मुर्गीपालन फार्म शामिल हैं।"
"The agency said, the investigation was initiated under the Prevention of Money Laundering Act, on the basis of FIR registered by CBI and Anti Corruption Branch, Visakhapatnam.",एजेंसी ने बताया कि सीबीआई और विशाखापट्टनम की भ्रष्टाचार निरोधक शाखा द्वारा दर्ज प्राथमिकी के आधार पर धन शोधन रोकथाम अधिनियम के तहत जांच शुरू की गई थी।
"A bench comprising Chief Justice SA Bobde and justices BR Gavai and Surya Kant said, it will hear the transfer petition of the Centre on January  10. Appearing for the Centre said, Solicitor General Tushar Mehta said there will be a problem as different high courts may take conflicting views and lawyers will be moving to different states to attend the proceedings.","प्रधान न्यायाधीश न्यायमूर्ति एस.ए.बोबड़े, न्यायमूर्ति बी.आर.गवई और न्यायमूर्ति सूर्यकांत की पीठ ने कहा कि केंद्र की इस याचिका पर 10 जनवरी को सुनवाई होगी।"
Navigation facilities for visually impaired were inaugurated at Chandigarh railway station in Punjab yesterday.,चंडीगढ़ रेलवे स्टेशन पर कल दृष्टिबाधित लोगों के लिए दिशा-निर्देशक सुविधा आरंभ की गई।
This facility has been introduced by the Indian Railway Stations Development Corporation through NGO 'Anuprayaas'.,यह सुविधा भारतीय रेलवे स्टेशन विकास निगम ने गैर-सरकारी संगठन अनुप्रयास के माध्यम से शुरू की है।
Chandigarh is fifth Railway station in the country and first in North India to have this facility.,चंडीगढ़ देश में ऐसी सुविधा वाला पांचवां और उत्तर भारत में पहला रेलवे स्टेशन बन गया है।
This step will help visually impaired passengers to know about the passenger amenities at the Chandigarh Railway Station.,इस सुविधा से दृष्टिबाधित यात्रियों को चंडीगढ़ रेलवे स्टेशन पर यात्री सुविधाओं की जानकारी मिल पाएगी।
Hindi Samachar of 5 Minutes was broadcast from Delhi at 11:00 am and was read by Visually impaired officer Mr Kamal Prajapati.,दिल्ली केन्द्र से सुबह 11 बजे का पांच मिनट का हिन्दी बुलेटिन दृष्टिबाधित अधिकारी कमल प्रजापति ने पढ़ा।
The News in Marathi went Live from Pune at 07:10 am and was presented by visually impaired students - Gulab Kambale & Kavita Gavali.,आकाशवाणी की पुणे इकाई से सुबह सात बजकर दस मिनट पर समाचार बुलेटिन दृष्टिबाधित विद्यार्थियों- गुलाब काम्बले और कविता गवली ने प्रसारित किया।
The students are from Pune Blind Men’s association.,ये विद्यार्थी पुणे ब्लाइंड मेन्स (Men) एसोसिएशन के थे।
AIR Pune has been broadcasting news read in Braille since 2016.,आकाशवाणी के पुणे केन्द्र से 2016 से ब्रेल लिपि से समाचार प्रसारित किया जा रहा है।
"In Nagpur unit of AIR, Ms Saloni Kapgate read FM News bulletin of 2 minutes at  11.58 am today.",आकाशवाणी की नागपुर इकाई में सलोली कपगटे ने सुबह 11 बजकर 58 मिनट पर दो मिनट का एफएम समाचार पढ़ा।
She fluently read the news in Braille with the help of her tutor Ms Kanchan Najpande.,उन्होंने अपने प्रशिक्षक कंचन नाजपंडे की मदद से ब्रेल लिपि में समाचार पढ़े।
"On the occasion, Principal Director General of All India Radio (News) Ira Joshi said that AIR is an all-inclusive medium and is the most easily accessible news medium to the Drishti Divyangs.",इस अवसर पर आकाशवाणी समाचार की प्रधान महानिदेशक ईरा जोशी ने कहा कि आकाशवाणी एक समावेशी माध्यम है और दृष्टि दिव्यांगजनों तक इसकी पहुंच सबसे आसान है।
She said that occasions like Braille Day give a chance to rededicate ourselves to an inclusive and accessible society.,उन्होंने कहा कि ब्रेल दिवस जैसे अवसर हमें समावेशी और सुगम्य समाज बनाने के प्रति समर्पित करते हैं।
Ms Joshi said that making the visually impaired a part of news production not only makes them confident but also makes the audience and others involved in the newsrooms more sensitive to the needs of the Divyangs.,ईरा जोशी ने कहा कि दृष्टिबाधित लोगों को समाचार संकलन का हिस्सा बनाने से न केवल उनमें आत्मविश्वास पैदा होता है बल्कि श्रोताओं और समाचार कक्ष में अन्य लोगों को दिव्यांगजनों की जरूरतों के प्रति अधिक संवेदनशील बनाता है।
She underscored that ‘Accessible Programming’ is a reflection of the Accessible India Campaign launched by Prime Minister in 2015.,"उन्होंने कहा कि सुगम्य प्रसारण, 2015 में प्रधानमंत्री की ओर से शुरू किए गए सुगम्य भारत अभियान का प्रतिबिम्ब है।"
"Hundreds of visually impaired people gathered at a function in New Delhi today to observe the World Braille Day, which is the birth anniversary of its inventor Louis Braille.",विश्व ब्रेल दिवस पर आज नई दिल्ली में हजारों दृष्टिबाधित लोग एक समारोह में एकत्रित हुए।
The event was organized by the National Federation of the Blind.,ये समारोह राष्ट्रीय दृष्टिहीन परिसंघ की ओर से आयोजित किया गया।
Mr Rungta said the government is committed to the empowerment of the visually impaired.,उन्होंने कहा कि सरकार दृष्टिबाधित लोगों के सशक्तिकरण के प्रति वचनबद्ध है।
Union Law Minister Ravi Shankar Prasad has asserted that the Citizenship Amendment Act was binding on the entire country and was perfectly legal and constitutional.,केन्द्रीय विधि और न्याय मंत्री रविशंकर प्रसाद ने कहा है कि नागरिकता संशोधन अधिनियम पूरे देश पर लागू है और यह पूरी तरह से कानूनी और संवैधानिक है।
"Speaking to media persons in Thiruvananthapuram yesterday after the Kerala Assembly passed a resolution demanding scrapping of the Act, the Minister added that only Parliament has got the powers to pass any law with regard to citizenship; not any Assembly, including the Kerala Assembly.",केरल विधानसभा द्वारा इस कानून को रद्द किये जाने से संबंधित एक संकल्प पारित किये जाने के बाद कल तिरूअनंतपुरम में पत्रकारों से बातचीत में श्री रविशंकर प्रसाद ने कहा कि नागरिकता के बारे में कोई भी कानून पारित करने का अधिकार केवल संसद को प्राप्त है और केरल विधानसभा सहित किसी भी विधानसभा को ऐसा अधिकार नहीं है।
